Teks,label
#dirumahaja lebih berwarna dengan Spotify Premium. Segera aktifkan paket Spotify Premium mulai dari Rp6.300.SKB. Info tsel.me/spotify,2
#dirumahaja sambil dengerin lagu favoritYuk berlangganan JOOX VIP mulai dari  Rp27.500. Nikmati kemudahan pembayaran dgn billing kartuHALO mu.Call CS 188.SKB,2
#TundaMudik kali ini biar makin kangen kita nanti,0
<#> This OTP is for login. DON'T SHARE IT WITH ANYONE even to Gojek or they'll be able to use your account. OTP: 5229 . gojek.com/safety 4PKeZqV9ubl,3
331130 is your YouTube verification code,3
Agar #dirumahaja tetap terhibur yuk berbagi kuota untuk keluargamu. Kirimkan Flash Gift dengan mudah lewat MyTelkomsel info : tsel.me/1 . SKB,2
And4 mendap4t cek Rp.175.jt dr Give 4way ID AND4 (CK805KU ) U/Inf0 klik s.id/info-giveaway-21 WA 085395733949,1
Ass wrb...piye kabare karo dolore iki kok wes lali ora tau telp/sms opo wis lali karo dolore iki sing merantau nang kalimantan...wassalam.,1
AssMaaf MenggngguKmi Menawarkn Pinjamn Berbasis online di seluruh wilayah indonesia min pinjamn RP.5jt-250jt U/ Info WA +6285651240574,1
Ayo mulai bisnis onlinemu di 99%Usahaku. Registrasi & dapatkan kuota 500MB (2hr) + 2GB (3hr/Rp.10) setelah registrasi dgn kode NSMSBC99. Info tsel.me/nsms99,2
Badan POM jamin vaksin COVID-19 di Indonesia aman dan ampuh serta dibolehkan penggunaannya oleh MUI. Mari siap divaksinasi saat vaksin siap! covid19.go.id,2
Bantuan KUOTA BELAJAR utk PelajarMahasiswaGuru dr Kemendikbud.Segera daftarkan nmr Telkomsel di Dapodik/PD Dikti melalui Sekolah/Kampus sd 11/09/2020.Info:188,2
Bebas akses Faceebook/Whatsapp/Instagram/LINE tiap beli Ekstra Kuota Hariankuota 10GB harga 40rb/7hr.Aktifkan dgn ketik EK10 kirim ke 5111 plg lambat 6Mar. SKB,2
BELAJAR jadi LEBIH SERU dg Paket Spesial 1GB + 30min Telp OnNet berlaku 3 hari CUMA SERIBU RUPIAH! Yuk BELI dg ketik SERIBU balas ke SMS ini. Promo sd 20 Mar,2
Beli 1 Gratis 1 Ice Cream di Cold Stone Grand Indonesia berlaku take away.S&K .Promo *606#,2
BELI 1 GRATIS 1 PIZZA / PASTA! Berlaku hanya hari ini ( Dine-in ). Tukar SMS ini sekarang di Pizza Marzano Kelapa Gading 3,2
Beli Galaxy Note 20 Series FREE Paket kartuHalo 23GB/bulan selama 12bulan Kunjungi store Selular Shop terdekat. SKB info tsel.me/note20,2
Beli HiLo disc 35% & FREE kuota data 1GB. Tingkatkan daya tahan tubuh dengan Vit D 100% AKG. Kode Voucher: TSHILO35 S&K berlaku. Buruan klik tsel.me/Hilo,2
Beli paket Rp2rb 1GB+30min Tsel utk 3hr dg balas 2RIBU ke SMS ini atau Rp5rb 2GB+300min Tsel utk 7hr dg balas 5RIBU atau beli di *363*20# & tsel.me/HO sd 3Juni,2
BONUS PULSA Rp10rb utk Telpon & SMS dgn isi ulang min Rp10rb di App MyTsel outlet atau e-commerce. Segera isi pulsa & dapatkan BONUSnya sebelum 30 April,2
BONUS PULSA Rp10rb utk Telpon&SMS utk 3hr dgn isi ulang min Rp10rb di App MyTseloutlet atau e-commerce. Segera isi pulsa & dptkn BONUSnya sebelum 30 April.SKB,2
Bosan? Coba dengerin PodCast menghibur di Spotify Premium cukup bayar dengan pulsa kamu dan dapatkan 3GB kuota IG biar makin eksis. Cek bit.ly/spa2-2m SKB,2
Buktikan sekolahmu yang terhebat dg ikutan kompetisi Ilmupedia Berani Jawab Season 2! Daftar sekarang dan raih hadiah total ratusan juta rupiah di tsel.me/ibj,2
Butuh Mod4L Usaha Atau Kebutuhan Lainnya? Kami SolusinyaBisa T.Over Cepat&Aman Hub:Vega(0813-1199-5873)wa/telp,1
Cari hiburan dgn nonton YouTube Disney+ Hotstar (free akses 1 bln) atau update status FB&IG & dg Paket OMG mulai dr 4GB 30hr!Beli di *363# atau di tsel.me/omg,2
Chat dokter bisa 24 jam kaya Raisa pas Hamish lg sakit + Ekstra bonus 1.5GB paket data dari GOOD DOCTOR! Klik myads.id/12sjn,2
Dapatkan GRATIS saldo MyAds 250ribu & tips cerdas beriklan di momen yang tepat. Baca insight & tips lengkapnya di tsel.me/analisaramadhan2,2
Dapatkan promo Galaxy smartphone di Samsung Official Store! Dari diskon hingga Rp15juta cicilan 0% free ongkir! tsel.me/infopromo,2
G3L SydneySlot'games On'line,1
G-994777 is your Google verification code.,3
GRATIS nonton Video di Ilmupedia untuk dapatkan tips menghadapi UTBK. Kunjungi Ilmupedia Online Class bersama mentor dari Pahamify di tsel.me/ioc,2
GRATIS nonton video di Ilmupedia utk tambah pengetahuanmu bersama mentor terbaik di bidangnya! Hanya di tsel.me/ioc,2
Hai produkmu bagus tapi sepi pelanggan? Itu tanda kamu perlu promosi tepat sasaran sesuai target kamu. Pakai Targeted MyAds aja! Yuk ngiklan tsel.me/MyAdsS1b,2
