Teks,label
??,0
01/24 19:47 Response Code: 960324 Challenge Code: ****09 Payment Media Indonusa Faspay 8985321050127951 IDR 200000 JANGAN BERIKAN RESPONSE CODE INI KEPA,3
01/27 00:52 Response Code: 136668 Challenge Code: ****38 Payment Media Indonusa Faspay 8985321050128298 IDR 130000 JANGAN BERIKAN RESPONSE CODE INI KEPA,3
02/24 00:24 Response Code: 115027 Challenge Code: ****81 Reload HP 84081703998889 IDR 800000 JANGAN BERIKAN RESPONSE CODE INI KEPADA SIAPAPUN.,3
02/24 00:24 Response Code: 782221 Challenge Code: ****48 Reload OVO 84081703998889 IDR 800000 JANGAN BERIKAN RESPONSE CODE INI KEPADA SIAPAPUN.,3
02/26 23:47 Response Code: 394077 Challenge Code: ****25 Transfer 893081703998889 IDR 100000 JANGAN BERIKAN RESPONSE CODE INI KEPADA SIAPAPUN.,3
02/26 23:47 Response Code: 900215 Challenge Code: ****67 Transfer 893081703998889 IDR 100000 JANGAN BERIKAN RESPONSE CODE INI KEPADA SIAPAPUN.,3
04-14-2020 00:46:03.Plg Yth sisa kuota Flash Anda 99.98MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
04-15-2020 16:58:42.Plg Yth sisa kuota Flash Anda 92.67MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
05/08 12:13 SETORAN TUNAI ACCOUNT# SEBESAR IDR 13.650.00000 (CR)                    RAHASIAKAN ResponseCode/OTP/PIN/TIN Anda! Waspada Penipuan!,3
05-16-2020 17:41:05.Plg Yth sisa kuota Flash Anda 99.96MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
05-20-2020 00:08:11.Plg Yth sisa kuota Flash Anda 67.93MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
05-21-2020 08:11:23.Plg Yth sisa kuota Flash Anda 67.89MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
053446 is your Amazon OTP. Do not share it with anyone.,3
086795 is your Help validation code.,3
+1000 KOIN PULSA mu & Paket Chat Sepuasnya Hari Ini Belum Diambil?Bisa Ditukar Pulsa Jangan Sampai Hangus! Hub *500*10*1#  2200/2hr,2
+1000 KOIN PULSA mu & Paket Chat Sepuasnya Hari Ini Belum Diambil?Bisa Ditukar Pulsa Jangan Sampai Hangus! Hub *500*10#  2200/2hr,2
100RB dpt Kuota 21-26GB +300min utk 30hr & temukan berbagai harga Combo Sakti yg cocok utkmu! Beli di *363# MyTelkomsel App Outlet atau di tsel.me/combo1 skrg!,2
10/19 15:08 Response Code: 868508 Challenge Code: ****40 Transfer ke IDR 64000 JANGAN BERIKAN RESPONSE CODE INI KEPADA SIAPAPUN.,3
10/30 01:42 Response Code: 821131 Challenge Code: ****57 untuk registrasi mobile PIN transaksi PermataMobileX JANGAN BERIKAN RESPONSE CODE INI KEPADA SIAPAPUN.,3
10GB kuota pelajar CUMA Rp. 10! Dptkan 10GB & 600MB setiap bulannya dari ROLi. Ada kuis total JUTAAN RUPIAH tsel.me/ROLi_LM S&K. Follow IG ROLi tsel.me/igroli,2
11/14 21:59 Response Code: 78903 Challenge Code: ****24 ANDA MENDAFTAR LAYANAN INTERNET/MOBILE BANKING JANGAN BERIKAN RESPONSE CODE INI KEPADA SIAPAPUN.,3
143782 is your Amazon OTP. Do not share it with anyone.,3
16-04-2020 12:07:56.Plg Yth sisa kuota Flash Anda 92.61MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
16-09-2019 13:34:57.Plg Yth sisa kuota Flash Anda 99.97MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
17-05-2020 15:43:14.Plg Yth sisa kuota Flash Anda 96.98MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
17-09-2019 07:12:54.Plg Yth sisa kuota Flash Anda 48.37MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
17-09-2019 08:31:36.Plg Yth sisa kuota Flash Anda 9.97MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
18-04-2020 00:04:12.Plg Yth sisa kuota Flash Anda 92.48MB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#,2
